Time (s),Thrust (N)
0.016,24.712
0.027,449.764
0.03,1329.524
0.039,1784.23
0.043,2041.239
0.08,2224.11
0.118,2357.557
0.198,2476.176
0.399,2678.817
0.495,2748.011
0.601,2787.551
0.701,2822.148
0.799,2822.148
1.001,2807.321
1.199,2757.896
1.399,2668.932
1.501,2565.14
1.6,2402.039
1.675,2233.995
1.752,2006.641
1.777,1818.828
1.805,1334.466
1.827,884.702
1.852,434.937
1.87,242.181
1.895,88.964
1.923,0
