Time (s),Thrust (N)
0,0
0.027,366.324
0.028,137.372
0.043,2237.19
0.053,2701.64
0.074,2786.68
0.133,2682.01
0.218,2610.06
0.324,2708.18
0.495,2858.64
0.691,3061.42
0.87,3172.63
0.968,3329.62
1.066,3251.13
1.125,3139.92
1.157,2858.64
1.181,2701.64
1.213,2616.6
1.306,2479.23
1.338,2171.78
1.41,1962.45
1.503,1870.87
1.614,1426.05
1.753,1020.47
1.859,870.02
1.997,627.984
2,667.233
2.125,431.739
2.316,235.494
2.521,0
