Time (s),Thrust (N)
0,0
0.013,313.676
0.025,364.294
0.038,409.543
0.091,409.543
0.148,405.708
0.242,402.641
0.374,405.708
0.515,401.107
0.735,387.302
0.892,378.866
1.108,360.459
1.25,349.722
1.366,346.654
1.504,344.354
1.551,334.383
1.607,320.579
1.667,257.69
1.708,179.463
1.777,95.867
1.833,44.482
1.925,14.572
1.987,0.767
2.012,0
