Time (s),Thrust (N)
0,780.77
0.1,628.21
0.2,583.33
0.3,551.92
0.4,538.46
0.5,529.49
0.6,507.05
0.7,448.72
0.8,403.85
0.9,358.97
1,314.1
1.1,197.44
1.2,89.74
1.3,22.44
1.4,0
