Time (s),Thrust (N)
0,0
0.01,140.75
0.02,2282.81
0.03,3656.89
0.04,2890.05
0.05,3078.49
0.06,3167.71
0.07,3074.65
0.08,2824.67
0.09,2959.66
0.1,2984.27
0.2,3110.41
0.3,3283.47
0.4,3419.99
0.5,3516.9
0.6,3605.35
0.7,3609.58
0.8,3558.82
0.9,3487.29
1,3402.3
1.1,3296.93
1.2,3155.41
1.3,2924.66
1.4,2765.84
1.45,2346.27
1.47,1629.43
1.5,883.36
1.52,411.88
1.55,65.38
1.569,0
