Time (s),Thrust (N)
0,0
0.031,992.64
0.072,1400.14
0.113,1473.29
0.144,1389.7
0.351,1285.21
1.495,1431.49
1.856,1431.49
2.227,1358.35
2.753,1201.62
2.928,1170.27
3,1065.78
3.113,679.175
3.247,355.261
3.361,177.63
3.464,83.591
3.67,0
