Time (s),Thrust (N)
0,0
0.05,900.765
0.075,818.472
0.15,847.386
0.2,849.61
0.3,836.265
0.5,805.128
1,738.405
1.5,658.337
2,582.717
2.5,511.545
2.95,455.943
3,429.253
3.1,300.255
3.3,151.239
3.5,68.947
3.6,51.155
3.7,13.345
3.9,0
