Time (s),Thrust (N)
0,0
0.01,216.51
0.02,1199.48
0.03,1182.56
0.04,1265.24
0.05,1373.3
0.06,1505.21
0.07,1549.44
0.08,1515.59
0.09,1498.67
0.1,1484.06
0.15,1569.82
0.2,1590.97
0.3,1618.27
0.4,1624.04
0.5,1661.73
0.6,1599.05
0.67,1466.75
0.68,1293.31
0.69,920.66
0.7,537.63
0.71,213.05
0.72,68.07
0.737,0
