Time (s),Thrust (N)
0.63492,1795.194633
0.637204,1794.342423
0.639274,1793.601398
0.641963,1792.746628
0.644515,1791.973349
0.647147,1790.884077
0.649711,1790.652811
0.652049,1790.809519
0.654588,1790.555943
0.656956,1790.296641
0.660115,1790.298892
0.662906,1790.522915
0.664516,1790.590889
0.666943,1790.713713
0.669459,1790.854531
0.672496,1790.889724
0.675219,1790.333757
0.676974,1790.381406
0.679459,1790.375208
0.682086,1790.173258
0.684704,1790.06064
0.687272,1789.954255
0.689465,1789.608591
0.691935,1788.768913
0.694524,1788.347093
0.69727,1787.933827
0.699702,1787.496506
0.701772,1786.936327
0.704513,1786.538523
0.706955,1786.214733
0.709714,1786.079192
0.712227,1786.213755
0.714517,1786.103294
0.716916,1785.706582
0.719439,1785.331761
0.722237,1784.978311
0.724994,1784.705451
0.726973,1784.568366
0.729273,1784.271813
0.731983,1784.038486
0.735074,1783.724336
0.737204,1783.700105
0.73945,1783.740909
0.742048,1783.537162
0.744579,1783.336018
0.747203,1782.631259
0.749704,1782.109062
0.751976,1781.659282
0.754493,1781.300979
0.75697,1781.016317
0.760172,1780.095966
0.76273,1778.367917
0.764658,1777.39708
0.766969,1776.569706
0.769322,1775.972925
0.772572,1775.13354
0.775164,1774.416409
0.777025,1773.214824
0.779267,1772.638253
0.781965,1771.926983
0.784761,1771.372744
0.787374,1771.367604
0.789457,1771.476262
0.791966,1771.387234
0.794526,1771.274677
0.797287,1770.769016
0.799671,1770.086067
0.801957,1769.308968
0.804523,1768.544117
0.806973,1767.680606
0.809894,1767.08046
0.812164,1765.87193
0.814527,1764.96206
0.81697,1764.331407
0.819527,1763.858578
0.822202,1763.342598
0.824994,1763.050324
0.826986,1762.358057
0.829468,1761.862195
0.832017,1761.651098
0.834768,1761.466656
0.837216,1760.906333
0.839569,1760.162412
0.84196,1759.191903
0.844517,1758.453082
0.847214,1757.301559
0.849653,1756.857955
0.852054,1756.728898
0.854616,1756.455442
0.856914,1756.077269
0.860168,1755.854046
0.863019,1755.429521
0.86451,1754.865722
0.866974,1754.104706
0.869275,1753.602037
0.872558,1752.527224
0.875134,1751.640121
0.877029,1750.780155
0.879465,1750.075895
0.881903,1749.519511
0.884984,1748.962591
0.887222,1748.059756
0.889373,1747.843204
0.892089,1747.541562
0.89453,1746.97195
0.897199,1745.758133
0.899766,1744.843461
0.901914,1743.089059
0.904516,1742.065523
0.906988,1740.846544
0.909739,1739.580128
0.91221,1738.037969
0.914523,1737.331121
0.916968,1736.323989
0.919298,1735.496681
0.92227,1734.784734
0.925029,1734.250404
0.926918,1733.183369
0.929507,1732.084353
0.93199,1730.737673
0.934896,1730.139297
0.937208,1729.322377
0.939373,1728.703576
0.941993,1727.245337
0.944573,1725.76467
0.947219,1723.711206
0.949699,1722.659287
0.95192,1721.312189
0.95452,1720.490789
0.956971,1719.565094
0.960115,1718.55916
0.963019,1717.127842
0.964538,1716.457165
0.96704,1715.726972
0.969467,1715.251533
0.972493,1714.554216
0.975171,1713.518436
0.976906,1712.188893
0.979468,1711.404683
0.98197,1710.042445
0.984923,1708.711195
0.987203,1706.78175
0.989291,1705.585683
0.992003,1703.883753
0.994525,1702.592494
0.997454,1700.78766
0.999697,1699.695541
1.001944,1698.251627
1.004511,1697.190186
1.00696,1696.257346
1.009705,1695.507314
1.012449,1694.186068
1.014472,1693.304085
